distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
1980.0,147.92351212150723,198147.92351212152,-198147.92351212152,-198059.92351212152,0.0
1990.0,147.96726984447076,199147.96726984446,-199147.96726984446,-199059.96726984446,0.0
2000.0,148.01080822955623,200148.01080822956,-200148.01080822956,-200060.01080822956,0.0
2010.0,148.0541294646864,201148.0541294647,-201148.0541294647,-201060.0541294647,0.0
2020.0,148.0972357052091,202148.0972357052,-202148.0972357052,-202060.0972357052,0.0
2030.0,148.14012907454088,203148.14012907454,-203148.14012907454,-203060.14012907454,0.0
2040.0,148.1828116647946,204148.1828116648,-204148.1828116648,-204060.1828116648,0.0
2050.0,148.2252855373917,205148.2252855374,-205148.2252855374,-205060.2252855374,0.0
2060.0,148.2675527236597,206148.26755272367,-206148.26755272367,-206060.26755272367,0.0
2070.0,148.30961522541497,207148.30961522541,-207148.30961522541,-207060.30961522541,0.0
2080.0,148.35147501553186,208148.35147501554,-208148.35147501554,-208060.35147501554,0.0
2090.0,148.3931340384977,209148.3931340385,-209148.3931340385,-209060.3931340385,0.0
2100.0,148.434594210955,210148.43459421096,-210148.43459421096,-210060.43459421096,0.0
2110.0,148.4758574222305,211148.47585742222,-211148.47585742222,-211060.47585742222,0.0
2120.0,148.51692553485165,212148.51692553484,-212148.51692553484,-212060.51692553484,0.0
2130.0,148.5578003850514,213148.55780038505,-213148.55780038505,-213060.55780038505,0.0
2140.0,148.59848378326043,214148.59848378325,-214148.59848378325,-214060.59848378325,0.0
2150.0,148.63897751458873,215148.63897751458,-215148.63897751458,-215060.63897751458,0.0
2160.0,148.67928333929524,216148.6792833393,-216148.6792833393,-216060.6792833393,0.0
2170.0,148.71940299324723,217148.71940299324,-217148.71940299324,-217060.71940299324,0.0
2180.0,148.75933818836873,218148.75933818836,-218148.75933818836,-218060.75933818836,0.0
2190.0,148.799090613079,219148.7990906131,-219148.7990906131,-219060.7990906131,0.0
2200.0,148.83866193272075,220148.8386619327,-220148.8386619327,-220060.8386619327,0.0
2210.0,148.87805378997885,221148.87805379,-221148.87805379,-221060.87805379,0.0
2220.0,148.91726780528938,222148.9172678053,-222148.9172678053,-222060.9172678053,0.0
2230.0,148.95630557723985,223148.95630557725,-223148.95630557725,-223060.95630557725,0.0
2240.0,148.99516868295987,224148.99516868297,-224148.99516868297,-224060.99516868297,0.0
2250.0,149.03385867850386,225149.0338586785,-225149.0338586785,-225061.0338586785,0.0
2260.0,149.07237709922464,226149.07237709922,-226149.07237709922,-226061.07237709922,0.0
2270.0,149.11072546013907,227149.11072546014,-227149.11072546014,-227061.11072546014,0.0
2280.0,149.1489052562857,228149.1489052563,-228149.1489052563,-228061.1489052563,0.0
2290.0,149.1869179630744,229149.1869179631,-229149.1869179631,-229061.1869179631,0.0
2300.0,149.22476503662847,230149.22476503663,-230149.22476503663,-230061.22476503663,0.0
