distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1970.0,147.8795328395085,295647.8795328395,-295647.8795328395,-295559.8795328395,1e-10,0.0,1
1980.0,147.92351212150723,297147.9235121215,-297147.9235121215,-297059.9235121215,1e-10,0.0,1
1990.0,147.96726984447076,298647.9672698445,-298647.9672698445,-298559.9672698445,1e-10,0.0,1
2000.0,148.01080822955623,300148.01080822956,-300148.01080822956,-300060.01080822956,1e-10,0.0,1
2010.0,148.0541294646864,301648.05412946467,-301648.05412946467,-301560.05412946467,1e-10,0.0,1
2020.0,148.0972357052091,303148.09723570524,-303148.09723570524,-303060.09723570524,1e-10,0.0,1
2030.0,148.14012907454088,304648.1401290745,-304648.1401290745,-304560.1401290745,1e-10,0.0,1
2040.0,148.1828116647946,306148.18281166477,-306148.18281166477,-306060.18281166477,1e-10,0.0,1
2050.0,148.2252855373917,307648.22528553737,-307648.22528553737,-307560.22528553737,1e-10,0.0,1
2060.0,148.2675527236597,309148.26755272364,-309148.26755272364,-309060.26755272364,1e-10,0.0,1
2070.0,148.30961522541497,310648.3096152254,-310648.3096152254,-310560.3096152254,1e-10,0.0,1
2080.0,148.35147501553186,312148.3514750155,-312148.3514750155,-312060.3514750155,1e-10,0.0,1
2090.0,148.3931340384977,313648.3931340385,-313648.3931340385,-313560.3931340385,1e-10,0.0,1
2100.0,148.434594210955,315148.43459421094,-315148.43459421094,-315060.43459421094,1e-10,0.0,1
2110.0,148.4758574222305,316648.4758574222,-316648.4758574222,-316560.4758574222,1e-10,0.0,1
2120.0,148.51692553485165,318148.5169255349,-318148.5169255349,-318060.5169255349,1e-10,0.0,1
2130.0,148.5578003850514,319648.55780038505,-319648.55780038505,-319560.55780038505,1e-10,0.0,1
2140.0,148.59848378326043,321148.59848378325,-321148.59848378325,-321060.59848378325,1e-10,0.0,1
2150.0,148.63897751458873,322648.6389775146,-322648.6389775146,-322560.6389775146,1e-10,0.0,1
2160.0,148.67928333929524,324148.6792833393,-324148.6792833393,-324060.6792833393,1e-10,0.0,1
2170.0,148.71940299324723,325648.7194029933,-325648.7194029933,-325560.7194029933,1e-10,0.0,1
2180.0,148.75933818836873,327148.7593381884,-327148.7593381884,-327060.7593381884,1e-10,0.0,1
2190.0,148.799090613079,328648.7990906131,-328648.7990906131,-328560.7990906131,1e-10,0.0,1
2200.0,148.83866193272075,330148.83866193274,-330148.83866193274,-330060.83866193274,1e-10,0.0,1
2210.0,148.87805378997885,331648.87805378996,-331648.87805378996,-331560.87805378996,1e-10,0.0,1
2220.0,148.91726780528938,333148.9172678053,-333148.9172678053,-333060.9172678053,1e-10,0.0,1
2230.0,148.95630557723985,334648.95630557725,-334648.95630557725,-334560.95630557725,1e-10,0.0,1
2240.0,148.99516868295987,336148.99516868294,-336148.99516868294,-336060.99516868294,1e-10,0.0,1
2250.0,149.03385867850386,337649.0338586785,-337649.0338586785,-337561.0338586785,1e-10,0.0,1
2260.0,149.07237709922464,339149.07237709925,-339149.07237709925,-339061.07237709925,1e-10,0.0,1
2270.0,149.11072546013907,340649.11072546017,-340649.11072546017,-340561.11072546017,1e-10,0.0,1
2280.0,149.1489052562857,342149.1489052563,-342149.1489052563,-342061.1489052563,1e-10,0.0,1
2290.0,149.1869179630744,343649.1869179631,-343649.1869179631,-343561.1869179631,1e-10,0.0,1
2300.0,149.22476503662847,345149.2247650366,-345149.2247650366,-345061.2247650366,1e-10,0.0,1
2310.0,149.26244791411952,346649.2624479141,-346649.2624479141,-346561.2624479141,1e-10,0.0,1
2320.0,149.29996801409462,348149.2999680141,-348149.2999680141,-348061.2999680141,1e-10,0.0,1
2330.0,149.337326736797,349649.3373267368,-349649.3373267368,-349561.3373267368,1e-10,0.0,1
2340.0,149.3745254644795,351149.3745254645,-351149.3745254645,-351061.3745254645,1e-10,0.0,1
2350.0,149.41156556171134,352649.4115655617,-352649.4115655617,-352561.4115655617,1e-10,0.0,1
2360.0,149.44844837567877,354149.4484483757,-354149.4484483757,-354061.4484483757,1e-10,0.0,1
2370.0,149.4851752364787,355649.4851752365,-355649.4851752365,-355561.4851752365,1e-10,0.0,1
2380.0,149.52174745740686,357149.5217474574,-357149.5217474574,-357061.5217474574,1e-10,0.0,1
2390.0,149.55816633523938,358649.5581663352,-358649.5581663352,-358561.5581663352,1e-10,0.0,1
2400.0,149.59443315050873,360149.5944331505,-360149.5944331505,-360061.5944331505,1e-10,0.0,1
2410.0,149.63054916777398,361649.63054916775,-361649.63054916775,-361561.63054916775,1e-10,0.0,1
2420.0,149.66651563588525,363149.6665156359,-363149.6665156359,-363061.6665156359,1e-10,0.0,1
2430.0,149.70233378824287,364649.7023337883,-364649.7023337883,-364561.7023337883,1e-10,0.0,1
2440.0,149.73800484305121,366149.73800484306,-366149.73800484306,-366061.73800484306,1e-10,0.0,1
2450.0,149.77353000356726,367649.77353000356,-367649.77353000356,-367561.77353000356,1e-10,0.0,1
2460.0,149.8089104583442,369149.80891045835,-369149.80891045835,-369061.80891045835,1e-10,0.0,1
2470.0,149.84414738146992,370649.8441473815,-370649.8441473815,-370561.8441473815,1e-10,0.0,1
2480.0,149.87924193280097,372149.8792419328,-372149.8792419328,-372061.8792419328,1e-10,0.0,1
2490.0,149.91419525819134,373649.91419525817,-373649.91419525817,-373561.91419525817,1e-10,0.0,1
2500.0,149.94900848971736,375149.9490084897,-375149.9490084897,-375061.9490084897,1e-10,0.0,1
2510.0,149.9836827458974,376649.9836827459,-376649.9836827459,-376561.9836827459,1e-10,0.0,1
2520.0,150.0182191319075,378150.0182191319,-378150.0182191319,-378062.0182191319,1e-10,0.0,1
2530.0,150.052618739793,379650.0526187398,-379650.0526187398,-379562.0526187398,1e-10,0.0,1
