distance_m,distance_km,L_atm_dB,L_turb_dB,L_point_dB,L_total_dB
1660.0,1.66,1.9997905151961552,2.18966217376104,0.30962284345742963,4.499075532414625
1670.0,1.67,2.01183744601059,2.2139058697985106,0.30962284345742963,4.53536615926653
1680.0,1.68,2.0238843768250248,2.238270845127284,0.30962284345742963,4.571778065409738
1690.0,1.69,2.0359313076394594,2.2627569791302746,0.30962284345742963,4.608311130227163
1700.0,1.7,2.047978238453894,2.2873641520251278,0.30962284345742963,4.6449652339364516
1710.0,1.71,2.0600251692683287,2.312092244853563,0.30962284345742963,4.681740257579321
1720.0,1.72,2.0720721000827633,2.3369411394709014,0.30962284345742963,4.718636083011094
1730.0,1.73,2.084119030897198,2.361910718535793,0.30962284345742963,4.755652592890421
1740.0,1.74,2.0961659617116326,2.3870008655001302,0.30962284345742963,4.792789670669192
1750.0,1.75,2.1082128925260673,2.4122114645991504,0.30962284345742963,4.830047200582647
1760.0,1.76,2.120259823340502,2.437542400841707,0.30962284345742963,4.867425067639639
1770.0,1.77,2.132306754154937,2.462993560000731,0.30962284345742963,4.904923157613098
1780.0,1.78,2.1443536849693716,2.488564828603849,0.30962284345742963,4.94254135703065
1790.0,1.79,2.1564006157838063,2.5142560939241765,0.30962284345742963,4.980279553165412
1800.0,1.8,2.168447546598241,2.5400672439712775,0.30962284345742963,5.018137634026948
1810.0,1.81,2.1804944774126755,2.5659981674822734,0.30962284345742963,5.056115488352378
1820.0,1.82,2.19254140822711,2.592048753913115,0.30962284345742963,5.094213005597655
1830.0,1.83,2.204588339041545,2.618218893430009,0.30962284345742963,5.132430075928983
1840.0,1.84,2.2166352698559795,2.6445084769009823,0.30962284345742963,5.170766590214392
1850.0,1.85,2.228682200670414,2.6709173958876056,0.30962284345742963,5.2092224400154485
1860.0,1.86,2.2407291314848488,2.697445542636849,0.30962284345742963,5.2477975175791265
1870.0,1.87,2.2527760622992834,2.7240928100730795,0.30962284345742963,5.286491715829792
1880.0,1.88,2.264822993113718,2.750859091790196,0.30962284345742963,5.325304928361343
1890.0,1.89,2.2768699239281527,2.7777442820438965,0.30962284345742963,5.364237049429478
1900.0,1.9,2.2889168547425873,2.8047482757440716,0.30962284345742963,5.403287973944089
1910.0,1.91,2.300963785557022,2.83187096844733,0.30962284345742963,5.4424575974617815
1920.0,1.92,2.3130107163714566,2.859112256349646,0.30962284345742963,5.481745816178532
1930.0,1.93,2.3250576471858913,2.8864720362791285,0.30962284345742963,5.5211525269224495
1940.0,1.94,2.337104578000326,2.9139502056889075,0.30962284345742963,5.560677627146663
1950.0,1.95,2.349151508814761,2.94154666265014,0.30962284345742963,5.60032101492233
1960.0,1.96,2.3611984396291956,2.969261305845128,0.30962284345742963,5.640082588931753
1970.0,1.97,2.3732453704436303,2.997094034560548,0.30962284345742963,5.6799622484616075
1980.0,1.98,2.385292301258065,3.0250447486807897,0.30962284345742963,5.719959893396284
1990.0,1.99,2.3973392320724995,3.053113348681401,0.30962284345742963,5.76007542421133
2000.0,2.0,2.409386162886934,3.0812997356226384,0.30962284345742963,5.800308741967002
2010.0,2.01,2.4214330937013684,3.1096038111431197,0.30962284345742963,5.840659748301917
2020.0,2.02,2.4334800245158035,3.138025477453577,0.30962284345742963,5.881128345426809
2030.0,2.03,2.445526955330238,3.1665646373307026,0.30962284345742963,5.92171443611837
2040.0,2.04,2.4575738861446728,3.195221194111106,0.30962284345742963,5.962417923713208
2050.0,2.05,2.4696208169591074,3.223995051685341,0.30962284345742963,6.0032387121018775
2060.0,2.06,2.4816677477735425,3.2528861144920516,0.30962284345742963,6.044176705723023
2070.0,2.07,2.4937146785879767,3.28189428751219,0.30962284345742963,6.085231809557596
