distance_m,FSPL_dB,gas_absorption_dB,total_loss_dB
1100.0,142.82027879755776,7.040000000000001,149.86027879755775
1110.0,142.8988846701264,7.104000000000001,150.0028846701264
1120.0,142.97678554779685,7.168000000000001,150.14478554779686
1130.0,143.05399396406165,7.231999999999999,150.28599396406165
1140.0,143.13052212112268,7.295999999999999,150.42652212112267
1150.0,143.20638190146548,7.359999999999999,150.5663819014655
1160.0,143.2815848789316,7.4239999999999995,150.7055848789316
1170.0,143.35614232931647,7.4879999999999995,150.84414232931647
1180.0,143.43006524051577,7.552,150.98206524051577
1190.0,143.50336432224384,7.616,151.11936432224383
1200.0,143.57605001534574,7.68,151.25605001534575
1210.0,143.64813250072223,7.744,151.39213250072223
1220.0,143.71962170788822,7.808,151.52762170788822
1230.0,143.7905273231812,7.872,151.66252732318122
1240.0,143.86085879763795,7.936,151.79685879763795
1250.0,143.93062535455437,8.0,151.93062535455437
1260.0,143.99983599674448,8.064,152.06383599674447
1270.0,144.0684995135124,8.128,152.19649951351238
1280.0,144.13662448735062,8.192,152.32862448735062
1290.0,144.2042193003782,8.256,152.4602193003782
1300.0,144.27129214052997,8.32,152.59129214052996
1310.0,144.3378510075085,8.384,152.72185100750852
1320.0,144.40390371851026,8.448,152.85190371851027
1330.0,144.46945791373497,8.512,152.98145791373497
1340.0,144.53452106168942,8.576,153.1105210616894
1350.0,144.59910046429337,8.64,153.23910046429336
1360.0,144.6632032617976,8.704,153.3672032617976
1370.0,144.7268364375214,8.768,153.4948364375214
1380.0,144.79000682241798,8.831999999999999,153.62200682241797
1390.0,144.85272109947516,8.895999999999999,153.74872109947515
1400.0,144.91498580795798,8.959999999999999,153.87498580795798
1410.0,144.97680734750082,9.024,154.00080734750082
1420.0,145.03819198205434,9.088,154.12619198205434
1430.0,145.0991458436945,9.152,154.25114584369447
1440.0,145.15967493629825,9.216,154.37567493629825
1450.0,145.21978513909272,9.28,154.49978513909272
1460.0,145.279482210082,9.344,154.623482210082
1470.0,145.33877178935677,9.408,154.74677178935676
1480.0,145.3976594022924,9.472,154.8696594022924
1490.0,145.45615046263873,9.536,154.99215046263873
1500.0,145.51425027550687,9.600000000000001,155.11425027550686
1510.0,145.5719640402566,9.664000000000001,155.2359640402566
1520.0,145.62929685328868,9.728000000000002,155.3572968532887
1530.0,145.68625371074523,9.792000000000002,155.47825371074524
1540.0,145.7428395111225,9.856000000000002,155.5988395111225
