distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1930.0,1.5390597961942367,25800.76764220426,-25770.76764220426,-25631.76764220426,0.001,0.0,1
1940.0,1.5390597961942367,25934.45037610169,-25904.45037610169,-25765.45037610169,0.001,0.0,1
1950.0,1.5390597961942367,26068.133109999122,-26038.133109999122,-25899.133109999122,0.001,0.0,1
1960.0,1.5390597961942367,26201.815843896555,-26171.815843896555,-26032.815843896555,0.001,0.0,1
1970.0,1.5390597961942367,26335.498577793984,-26305.498577793984,-26166.498577793984,0.001,0.0,1
1980.0,1.5390597961942367,26469.181311691416,-26439.181311691416,-26300.181311691416,0.001,0.0,1
1990.0,1.5390597961942367,26602.86404558885,-26572.86404558885,-26433.86404558885,0.001,0.0,1
2000.0,1.5390597961942367,26736.546779486278,-26706.546779486278,-26567.546779486278,0.001,0.0,1
2010.0,1.5390597961942367,26870.22951338371,-26840.22951338371,-26701.22951338371,0.001,0.0,1
2020.0,1.5390597961942367,27003.912247281143,-26973.912247281143,-26834.912247281143,0.001,0.0,1
2030.0,1.5390597961942367,27137.594981178572,-27107.594981178572,-26968.594981178572,0.001,0.0,1
2040.0,1.5390597961942367,27271.277715076005,-27241.277715076005,-27102.277715076005,0.001,0.0,1
2050.0,1.5390597961942367,27404.960448973437,-27374.960448973437,-27235.960448973437,0.001,0.0,1
2060.0,1.5390597961942367,27538.643182870866,-27508.643182870866,-27369.643182870866,0.001,0.0,1
2070.0,1.5390597961942367,27672.3259167683,-27642.3259167683,-27503.3259167683,0.001,0.0,1
2080.0,1.5390597961942367,27806.00865066573,-27776.00865066573,-27637.00865066573,0.001,0.0,1
2090.0,1.5390597961942367,27939.69138456316,-27909.69138456316,-27770.69138456316,0.001,0.0,1
2100.0,1.5390597961942367,28073.374118460593,-28043.374118460593,-27904.374118460593,0.001,0.0,1
2110.0,1.5390597961942367,28207.056852358022,-28177.056852358022,-28038.056852358022,0.001,0.0,1
2120.0,1.5390597961942367,28340.739586255455,-28310.739586255455,-28171.739586255455,0.001,0.0,1
2130.0,1.5390597961942367,28474.422320152888,-28444.422320152888,-28305.422320152888,0.001,0.0,1
2140.0,1.5390597961942367,28608.105054050317,-28578.105054050317,-28439.105054050317,0.001,0.0,1
2150.0,1.5390597961942367,28741.78778794775,-28711.78778794775,-28572.78778794775,0.001,0.0,1
2160.0,1.5390597961942367,28875.47052184518,-28845.47052184518,-28706.47052184518,0.001,0.0,1
2170.0,1.5390597961942367,29009.15325574261,-28979.15325574261,-28840.15325574261,0.001,0.0,1
2180.0,1.5390597961942367,29142.835989640043,-29112.835989640043,-28973.835989640043,0.001,0.0,1
2190.0,1.5390597961942367,29276.518723537476,-29246.518723537476,-29107.518723537476,0.001,0.0,1
2200.0,1.5390597961942367,29410.201457434905,-29380.201457434905,-29241.201457434905,0.001,0.0,1
2210.0,1.5390597961942367,29543.884191332338,-29513.884191332338,-29374.884191332338,0.001,0.0,1
2220.0,1.5390597961942367,29677.56692522977,-29647.56692522977,-29508.56692522977,0.001,0.0,1
2230.0,1.5390597961942367,29811.2496591272,-29781.2496591272,-29642.2496591272,0.001,0.0,1
2240.0,1.5390597961942367,29944.932393024632,-29914.932393024632,-29775.932393024632,0.001,0.0,1
2250.0,1.5390597961942367,30078.615126922065,-30048.615126922065,-29909.615126922065,0.001,0.0,1
2260.0,1.5390597961942367,30212.297860819494,-30182.297860819494,-30043.297860819494,0.001,0.0,1
2270.0,1.5390597961942367,30345.980594716926,-30315.980594716926,-30176.980594716926,0.001,0.0,1
2280.0,1.5390597961942367,30479.66332861436,-30449.66332861436,-30310.66332861436,0.001,0.0,1
2290.0,1.5390597961942367,30613.346062511788,-30583.346062511788,-30444.346062511788,0.001,0.0,1
2300.0,1.5390597961942367,30747.02879640922,-30717.02879640922,-30578.02879640922,0.001,0.0,1
2310.0,1.5390597961942367,30880.711530306653,-30850.711530306653,-30711.711530306653,0.001,0.0,1
2320.0,1.5390597961942367,31014.394264204082,-30984.394264204082,-30845.394264204082,0.001,0.0,1
2330.0,1.5390597961942367,31148.076998101515,-31118.076998101515,-30979.076998101515,0.001,0.0,1
2340.0,1.5390597961942367,31281.759731998947,-31251.759731998947,-31112.759731998947,0.001,0.0,1
2350.0,1.5390597961942367,31415.442465896376,-31385.442465896376,-31246.442465896376,0.001,0.0,1
2360.0,1.5390597961942367,31549.12519979381,-31519.12519979381,-31380.12519979381,0.001,0.0,1
2370.0,1.5390597961942367,31682.80793369124,-31652.80793369124,-31513.80793369124,0.001,0.0,1
2380.0,1.5390597961942367,31816.49066758867,-31786.49066758867,-31647.49066758867,0.001,0.0,1
2390.0,1.5390597961942367,31950.173401486103,-31920.173401486103,-31781.173401486103,0.001,0.0,1
2400.0,1.5390597961942367,32083.856135383536,-32053.856135383536,-31914.856135383536,0.001,0.0,1
2410.0,1.5390597961942367,32217.538869280965,-32187.538869280965,-32048.538869280965,0.001,0.0,1
2420.0,1.5390597961942367,32351.221603178397,-32321.221603178397,-32182.221603178397,0.001,0.0,1
2430.0,1.5390597961942367,32484.90433707583,-32454.90433707583,-32315.90433707583,0.001,0.0,1
2440.0,1.5390597961942367,32618.58707097326,-32588.58707097326,-32449.58707097326,0.001,0.0,1
2450.0,1.5390597961942367,32752.26980487069,-32722.26980487069,-32583.26980487069,0.001,0.0,1
2460.0,1.5390597961942367,32885.95253876812,-32855.95253876812,-32716.95253876812,0.001,0.0,1
2470.0,1.5390597961942367,33019.63527266555,-32989.63527266555,-32850.63527266555,0.001,0.0,1
2480.0,1.5390597961942367,33153.318006562986,-33123.318006562986,-32984.318006562986,0.001,0.0,1
2490.0,1.5390597961942367,33287.00074046042,-33257.00074046042,-33118.00074046042,0.001,0.0,1
2500.0,1.5390597961942367,33420.68347435785,-33390.68347435785,-33251.68347435785,0.001,0.0,1
2510.0,1.5390597961942367,33554.36620825528,-33524.36620825528,-33385.36620825528,0.001,0.0,1
2520.0,1.5390597961942367,33688.04894215271,-33658.04894215271,-33519.04894215271,0.001,0.0,1
2530.0,1.5390597961942367,33821.73167605014,-33791.73167605014,-33652.73167605014,0.001,0.0,1
2540.0,1.5390597961942367,33955.414409947574,-33925.414409947574,-33786.414409947574,0.001,0.0,1
2550.0,1.5390597961942367,34089.09714384501,-34059.09714384501,-33920.09714384501,0.001,0.0,1
2560.0,1.5390597961942367,34222.77987774244,-34192.77987774244,-34053.77987774244,0.001,0.0,1
2570.0,1.5390597961942367,34356.462611639865,-34326.462611639865,-34187.462611639865,0.001,0.0,1
2580.0,1.5390597961942367,34490.1453455373,-34460.1453455373,-34321.1453455373,0.001,0.0,1
2590.0,1.5390597961942367,34623.82807943473,-34593.82807943473,-34454.82807943473,0.001,0.0,1
2600.0,1.5390597961942367,34757.51081333216,-34727.51081333216,-34588.51081333216,0.001,0.0,1
2610.0,1.5390597961942367,34891.193547229595,-34861.193547229595,-34722.193547229595,0.001,0.0,1
2620.0,1.5390597961942367,35024.87628112703,-34994.87628112703,-34855.87628112703,0.001,0.0,1
2630.0,1.5390597961942367,35158.55901502445,-35128.55901502445,-34989.55901502445,0.001,0.0,1
2640.0,1.5390597961942367,35292.241748921886,-35262.241748921886,-35123.241748921886,0.001,0.0,1
2650.0,1.5390597961942367,35425.92448281932,-35395.92448281932,-35256.92448281932,0.001,0.0,1
2660.0,1.5390597961942367,35559.60721671675,-35529.60721671675,-35390.60721671675,0.001,0.0,1
2670.0,1.5390597961942367,35693.289950614184,-35663.289950614184,-35524.289950614184,0.001,0.0,1
2680.0,1.5390597961942367,35826.97268451162,-35796.97268451162,-35657.97268451162,0.001,0.0,1
2690.0,1.5390597961942367,35960.65541840904,-35930.65541840904,-35791.65541840904,0.001,0.0,1
2700.0,1.5390597961942367,36094.338152306475,-36064.338152306475,-35925.338152306475,0.001,0.0,1
2710.0,1.5390597961942367,36228.02088620391,-36198.02088620391,-36059.02088620391,0.001,0.0,1
2720.0,1.5390597961942367,36361.70362010134,-36331.70362010134,-36192.70362010134,0.001,0.0,1
2730.0,1.5390597961942367,36495.38635399877,-36465.38635399877,-36326.38635399877,0.001,0.0,1
2740.0,1.5390597961942367,36629.069087896205,-36599.069087896205,-36460.069087896205,0.001,0.0,1
