distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
2420.0,0.2,2103.012,-2093.012,-1994.0120000000002,0.0
2430.0,0.2,2111.6980000000003,-2101.6980000000003,-2002.6980000000003,0.0
2440.0,0.2,2120.384,-2110.384,-2011.384,0.0
2450.0,0.2,2129.07,-2119.07,-2020.0700000000002,0.0
2460.0,0.2,2137.7560000000003,-2127.7560000000003,-2028.7560000000003,0.0
2470.0,0.2,2146.442,-2136.442,-2037.442,0.0
2480.0,0.2,2155.128,-2145.128,-2046.1280000000002,0.0
2490.0,0.2,2163.8140000000003,-2153.8140000000003,-2054.8140000000003,0.0
2500.0,0.2,2172.5,-2162.5,-2063.5,0.0
2510.0,0.2,2181.186,-2171.186,-2072.186,0.0
2520.0,0.2,2189.8720000000003,-2179.8720000000003,-2080.8720000000003,0.0
2530.0,0.2,2198.558,-2188.558,-2089.558,0.0
2540.0,0.2,2207.244,-2197.244,-2098.244,0.0
2550.0,0.2,2215.9300000000003,-2205.9300000000003,-2106.9300000000003,0.0
2560.0,0.2,2224.616,-2214.616,-2115.616,0.0
2570.0,0.2,2233.302,-2223.302,-2124.302,0.0
2580.0,0.2,2241.9880000000003,-2231.9880000000003,-2132.9880000000003,0.0
2590.0,0.2,2250.674,-2240.674,-2141.674,0.0
2600.0,0.2,2259.36,-2249.36,-2150.36,0.0
2610.0,0.2,2268.0460000000003,-2258.0460000000003,-2159.0460000000003,0.0
2620.0,0.2,2276.732,-2266.732,-2167.732,0.0
2630.0,0.2,2285.418,-2275.418,-2176.418,0.0
2640.0,0.2,2294.1040000000003,-2284.1040000000003,-2185.1040000000003,0.0
2650.0,0.2,2302.79,-2292.79,-2193.79,0.0
2660.0,0.2,2311.476,-2301.476,-2202.476,0.0
2670.0,0.2,2320.1620000000003,-2310.1620000000003,-2211.1620000000003,0.0
2680.0,0.2,2328.848,-2318.848,-2219.848,0.0
2690.0,0.2,2337.534,-2327.534,-2228.534,0.0
2700.0,0.2,2346.2200000000003,-2336.2200000000003,-2237.2200000000003,0.0
2710.0,0.2,2354.906,-2344.906,-2245.906,0.0
2720.0,0.2,2363.592,-2353.592,-2254.592,0.0
2730.0,0.2,2372.2780000000002,-2362.2780000000002,-2263.2780000000002,0.0
2740.0,0.2,2380.964,-2370.964,-2271.964,0.0
2750.0,0.2,2389.65,-2379.65,-2280.65,0.0
2760.0,0.2,2398.3360000000002,-2388.3360000000002,-2289.3360000000002,0.0
2770.0,0.2,2407.022,-2397.022,-2298.022,0.0
2780.0,0.2,2415.708,-2405.708,-2306.708,0.0
2790.0,0.2,2424.3940000000002,-2414.3940000000002,-2315.3940000000002,0.0
2800.0,0.2,2433.08,-2423.08,-2324.08,0.0
2810.0,0.2,2441.766,-2431.766,-2332.766,0.0
2820.0,0.2,2450.452,-2440.452,-2341.452,0.0
2830.0,0.2,2459.138,-2449.138,-2350.138,0.0
2840.0,0.2,2467.824,-2457.824,-2358.824,0.0
2850.0,0.2,2476.51,-2466.51,-2367.51,0.0
2860.0,0.2,2485.196,-2475.196,-2376.196,0.0
2870.0,0.2,2493.882,-2483.882,-2384.882,0.0
2880.0,0.2,2502.568,-2492.568,-2393.568,0.0
2890.0,0.2,2511.254,-2501.254,-2402.254,0.0
2900.0,0.2,2519.94,-2509.94,-2410.94,0.0
2910.0,0.2,2528.626,-2518.626,-2419.626,0.0
2920.0,0.2,2537.312,-2527.312,-2428.312,0.0
2930.0,0.2,2545.998,-2535.998,-2436.998,0.0
2940.0,0.2,2554.684,-2544.684,-2445.684,0.0
2950.0,0.2,2563.37,-2553.37,-2454.37,0.0
2960.0,0.2,2572.056,-2562.056,-2463.056,0.0
2970.0,0.2,2580.742,-2570.742,-2471.742,0.0
2980.0,0.2,2589.4280000000003,-2579.4280000000003,-2480.4280000000003,0.0
2990.0,0.2,2598.114,-2588.114,-2489.114,0.0
3000.0,0.2,2606.8,-2596.8,-2497.8,0.0
3010.0,0.2,2615.4860000000003,-2605.4860000000003,-2506.4860000000003,0.0
3020.0,0.2,2624.172,-2614.172,-2515.172,0.0
3030.0,0.2,2632.858,-2622.858,-2523.858,0.0
3040.0,0.2,2641.5440000000003,-2631.5440000000003,-2532.5440000000003,0.0
3050.0,0.2,2650.23,-2640.23,-2541.23,0.0
3060.0,0.2,2658.916,-2648.916,-2549.916,0.0
3070.0,0.2,2667.6020000000003,-2657.6020000000003,-2558.6020000000003,0.0
3080.0,0.2,2676.288,-2666.288,-2567.288,0.0
3090.0,0.2,2684.974,-2674.974,-2575.974,0.0
3100.0,0.2,2693.6600000000003,-2683.6600000000003,-2584.6600000000003,0.0
3110.0,0.2,2702.346,-2692.346,-2593.346,0.0
3120.0,0.2,2711.032,-2701.032,-2602.032,0.0
3130.0,0.2,2719.7180000000003,-2709.7180000000003,-2610.7180000000003,0.0
3140.0,0.2,2728.404,-2718.404,-2619.404,0.0
3150.0,0.2,2737.09,-2727.09,-2628.09,0.0
3160.0,0.2,2745.7760000000003,-2735.7760000000003,-2636.7760000000003,0.0
3170.0,0.2,2754.462,-2744.462,-2645.462,0.0
3180.0,0.2,2763.148,-2753.148,-2654.148,0.0
3190.0,0.2,2771.8340000000003,-2761.8340000000003,-2662.8340000000003,0.0
3200.0,0.2,2780.52,-2770.52,-2671.52,0.0
3210.0,0.2,2789.206,-2779.206,-2680.206,0.0
